Syntax,Description,L1_Language,L2_Category,Priority,Example,Note
func (p *T) Method() { },Method with receiver,GO,OOP,Core,func (c *Config) Validate() error { },Pointer receiver to modify or avoid copy
type Name interface { },Interface definition,GO,OOP,Core,type Handler interface { Handle() error },Implicit implementation; keep small
v; ok := i.(Type),Type assertion,GO,OOP,Core,if str; ok := val.(string); ok { },Use comma-ok to avoid panic
[]int / []string,Slice declaration,GO,Collections,Core,items := []string{"a"; "b"; "c"},Dynamic array; backed by array
make([]T; len; cap),Create slice with make,GO,Collections,Core,buf := make([]byte; 1024),Preallocate for performance
append(slice; elem),Append to slice,GO,Collections,Core,items = append(items; "new"),May allocate new backing array
len(s) / cap(s),Length and capacity,GO,Collections,Core,n := len(items),Works on strings slices maps channels
s[i:j],Slice sub-range,GO,Collections,Core,sub := items[1:3],Shares backing array; be careful with mutations
map[K]V,Map declaration,GO,Collections,Core,config := map[string]string{},Keys must be comparable
make(map[K]V),Create map with make,GO,Collections,Core,env := make(map[string]string),Nil map panics on write; use make
m[key] = value,Set map value,GO,Collections,Core,env["HOME"] = "/root",Overwrites existing key
value; ok := m[key],Get map value with check,GO,Collections,Core,if val; ok := env["PATH"]; ok { },Always use comma-ok for safety
delete(m; key),Delete map key,GO,Collections,Core,delete(env; "TEMP"),Safe on missing key
errors.New("msg"),Create error,GO,Error Handling,Core,return errors.New("invalid config"),Simple error creation
fmt.Errorf("...: %w"; err),Wrap error with context,GO,Error Handling,Core,return fmt.Errorf("fetch failed: %w"; err),%w for unwrapping; add context
if err != nil { return err },Error check pattern,GO,Error Handling,Core,if err != nil { return nil; err },Explicit error handling; no exceptions
errors.Is(err; target),Check error type,GO,Error Handling,Core,if errors.Is(err; os.ErrNotExist) { },Works with wrapped errors
panic("msg") / recover(),Panic and recover,GO,Error Handling,Advanced,defer func() { if r := recover(); r != nil { } }(),Use sparingly; for unrecoverable errors only
go f(),Start goroutine,GO,Functions,Core,go processAsync(data),Lightweight; thousands are fine
go func() { }(),Anonymous goroutine,GO,Functions,Core,go func() { result <- compute() }(),Capture variables carefully
ch := make(chan T),Create unbuffered channel,GO,Functions,Core,done := make(chan struct{}),Synchronous; blocks until received
ch := make(chan T; n),Create buffered channel,GO,Functions,Core,jobs := make(chan Job; 100),Async up to buffer size
ch <- value,Send to channel,GO,Functions,Core,results <- data,Blocks on full buffer or unbuffered
value := <-ch,Receive from channel,GO,Functions,Core,result := <-results,Blocks until value available
close(ch),Close channel,GO,Functions,Core,close(done),Only sender should close; receivers detect with comma-ok
for v := range ch { },Range over channel,GO,Control Flow,Core,for job := range jobs { process(job) },Exits when channel closed
select { case: },Select from channels,GO,Control Flow,Core,select { case <-done: return case msg := <-ch: handle(msg) },Non-blocking with default case
sync.Mutex,Mutual exclusion lock,GO,Functions,Core,var mu sync.Mutex; mu.Lock(); defer mu.Unlock(),Protect shared state; prefer channels when possible
sync.WaitGroup,Wait for goroutines,GO,Functions,Core,var wg sync.WaitGroup; wg.Add(1); go f(); wg.Wait(),Add before goroutine; Done in goroutine
sync.Once,Execute once,GO,Functions,Core-N,once.Do(func() { init() }),Thread-safe initialization
context.Background(),Root context,GO,Functions,Core,ctx := context.Background(),Starting point for context tree
context.WithCancel(parent),Cancelable context,GO,Functions,Core,ctx; cancel := context.WithCancel(ctx),Always defer cancel()
context.WithTimeout(parent; d),Timeout context,GO,Functions,Core,ctx; cancel := context.WithTimeout(ctx; 30*time.Second),Auto-cancels after duration
<-ctx.Done(),Check context cancellation,GO,Control Flow,Core,select { case <-ctx.Done(): return ctx.Err() },Check in long-running operations
os.ReadFile("path"),Read entire file,GO,I/O,Core,data; err := os.ReadFile("config.yaml"),Simple for small files; Go 1.16+
os.WriteFile("path"; data; 0644),Write entire file,GO,I/O,Core,os.WriteFile("out.json"; data; 0644),Creates or truncates; set permissions
os.Open("path"),Open file for reading,GO,I/O,Core,file; err := os.Open("data.txt"),Read-only; use Create for write
os.Create("path"),Create/truncate file,GO,I/O,Core,file; err := os.Create("output.log"),Creates or truncates existing
defer file.Close(),Close file on return,GO,I/O,Core,defer file.Close(),Always defer close after open
bufio.NewScanner(file),Line-by-line reader,GO,I/O,Core,scanner := bufio.NewScanner(file); for scanner.Scan() { },Check scanner.Err() after loop
json.Marshal(v),Encode struct to JSON,GO,I/O,Core,data; err := json.Marshal(config),Use struct tags for field names
json.Unmarshal(data; &v),Decode JSON to struct,GO,I/O,Core,err := json.Unmarshal(data; &config),Pass pointer to target
json.NewEncoder(w).Encode(v),Stream JSON encode,GO,I/O,Core,json.NewEncoder(resp).Encode(result),Better for HTTP responses
json.NewDecoder(r).Decode(&v),Stream JSON decode,GO,I/O,Core,json.NewDecoder(req.Body).Decode(&input),Better for HTTP requests
yaml.Unmarshal(data; &v),Decode YAML to struct,GO,I/O,Core,err := yaml.Unmarshal(data; &config),gopkg.in/yaml.v3 common
`json:"field"`,Struct tag for JSON field,GO,OOP,Core,Name string `json:"name;omitempty"`,omitempty skips zero values
http.Get(url),HTTP GET request,GO,I/O,Core,resp; err := http.Get(url),Close resp.Body after use
http.Post(url; ctype; body),HTTP POST request,GO,I/O,Core,resp; err := http.Post(url; "application/json"; bytes.NewReader(data)),Set content type explicitly
http.NewRequest(method; url; body),Create HTTP request,GO,I/O,Core,req; err := http.NewRequest("PUT"; url; body),Add headers with req.Header.Set
client.Do(req),Execute HTTP request,GO,I/O,Core,resp; err := client.Do(req),Use custom client for timeouts
http.HandleFunc(path; handler),Register HTTP handler,GO,I/O,Core,http.HandleFunc("/health"; healthHandler),Quick setup; use mux for complex routing
http.ListenAndServe(addr; nil),Start HTTP server,GO,I/O,Core,http.ListenAndServe(":8080"; nil),Blocks; use goroutine for non-blocking
os.Getenv("VAR"),Get environment variable,GO,I/O,Core,apiKey := os.Getenv("API_KEY"),Returns empty string if not set
os.Setenv("VAR"; "val"),Set environment variable,GO,I/O,Core,os.Setenv("LOG_LEVEL"; "debug"),Affects current process only
os.Args,Command line arguments,GO,I/O,Core,if len(os.Args) > 1 { arg := os.Args[1] },os.Args[0] is program name
flag.String("name"; "default"; "desc"),Define CLI flag,GO,I/O,Core,port := flag.Int("port"; 8080; "server port"),Returns pointer; call Parse first
flag.Parse(),Parse CLI flags,GO,I/O,Core,flag.Parse(); fmt.Println(*port),Call after defining all flags
log.Println("msg"),Log message,GO,I/O,Core,log.Println("Server started"),Includes timestamp by default
log.Printf("format"; args),Log formatted message,GO,I/O,Core,log.Printf("Listening on port %d"; port),Printf format verbs
log.Fatal(err),Log and exit,GO,Error Handling,Core,log.Fatal(err),Calls os.Exit(1) after logging
time.Now(),Current time,GO,Data Types,Core,now := time.Now(),Local time; use UTC() for UTC
time.Sleep(d),Sleep for duration,GO,Functions,Core,time.Sleep(5 * time.Second),Blocks goroutine; consider ticker for intervals
time.Duration,Duration type,GO,Data Types,Core,timeout := 30 * time.Second,Type-safe; multiply with time constants
time.Parse(layout; str),Parse time string,GO,Data Types,Core,t; err := time.Parse(time.RFC3339; str),Use reference time 2006-01-02 15:04:05
t.Format(layout),Format time to string,GO,Data Types,Core,str := t.Format("2006-01-02"),Same reference time for layout
exec.Command("cmd"; args...),Execute external command,GO,I/O,Core,cmd := exec.Command("az"; "login"),Each arg separate; no shell expansion
cmd.Run() / cmd.Output(),Run command and get output,GO,I/O,Core,output; err := cmd.Output(),Output returns stdout; Run discards
go test,Run tests,GO,Functions,Core,go test ./...,./... for all packages
func TestXxx(t *testing.T),Test function,GO,Functions,Core,func TestAdd(t *testing.T) { },Must start with Test; takes *testing.T
t.Error() / t.Fatal(),Report test failure,GO,Error Handling,Core,t.Errorf("expected %d; got %d"; want; got),Fatal stops test; Error continues
go mod init,Initialize Go module,GO,I/O,Core,go mod init github.com/org/repo,Creates go.mod; use module path
go get pkg@version,Add dependency,GO,I/O,Core,go get github.com/Azure/azure-sdk-for-go@latest,Use @latest or specific version
go build / go run,Build or run Go code,GO,I/O,Core,go build -o app main.go,run for dev; build for production
var x = 10,Local variable type inference,CSHARP,Variables,Core,var name = "value"; var list = new List<string>();,Use when type is clear from right side
int / long / double / decimal,Numeric value types,CSHARP,Data Types,Core,int count = 0; decimal price = 19.99m;,Use decimal for financial; double for science
string / bool,String and boolean types,CSHARP,Data Types,Core,string name = "value"; bool active = true;,string is reference type but immutable
int? / string?,Nullable types,CSHARP,Data Types,Core,int? count = null; string? name = null;,Enable nullable for better null safety
const / readonly,Constants and readonly fields,CSHARP,Variables,Core,const int Max = 100; readonly string _name;,const compile-time; readonly runtime
(int)value / Convert.ToInt32(),Type conversion,CSHARP,Data Types,Core,int x = (int)3.14; int y = Convert.ToInt32("42");,Convert handles null; cast throws
int.TryParse(s; out int result),Safe parse with out parameter,CSHARP,Data Types,Core,if (int.TryParse(str; out int num)) { },Preferred over Parse; no exception
obj is Type / obj as Type,Type checking and safe cast,CSHARP,Data Types,Core,if (obj is string s) { }; var str = obj as string;,is pattern matching preferred in modern C#
+ - * / % ++ --,Arithmetic operators,CSHARP,Operators,Core,x + y; count++;,Watch for integer overflow
== != < > <= >=,Comparison operators,CSHARP,Operators,Core,if (x == y) { },Override Equals for custom types
&& || !,Logical operators,CSHARP,Operators,Core,if (a && !b) { },Short-circuit evaluation
? :,Ternary operator,CSHARP,Operators,Core,var result = x > 0 ? "positive" : "negative";,Keep simple; use switch for complex
??,Null-coalescing operator,CSHARP,Operators,Core,var value = input ?? "default";,Returns left if non-null
??=,Null-coalescing assignment,CSHARP,Operators,Core,list ??= new List<string>();,Assigns only if null
?.,Null-conditional operator,CSHARP,Operators,Core,var len = str?.Length; obj?.Method();,Returns null if left is null
if / else if / else,Conditional branching,CSHARP,Control Flow,Core,if (x > 0) { } else if (x < 0) { } else { },Always use braces
switch (val) { case: },Switch statement,CSHARP,Control Flow,Core,switch (status) { case "A": break; default: break; },Use switch expression for simple mapping
switch expression =>,Switch expression (C# 8+),CSHARP,Control Flow,Core,var result = status switch { "A" => 1; _ => 0 };,_ is discard pattern (default)
for (int i = 0; i < n; i++),Traditional for loop,CSHARP,Control Flow,Core,for (int i = 0; i < 10; i++) { },Use for index-based access
foreach (var item in items),Iterate over collection,CSHARP,Control Flow,Core,foreach (var user in users) { },Preferred for collections
while (condition) { },While loop,CSHARP,Control Flow,Core,while (hasMore) { process(); },Ensure exit condition
break / continue,Loop control,CSHARP,Control Flow,Core,break; continue,break exits; continue skips to next iteration
public ReturnType Method(),Method definition,CSHARP,Functions,Core,public int Add(int a; int b) { return a + b; },PascalCase for public methods
=> expression,Expression-bodied member,CSHARP,Functions,Core,public int Double(int x) => x * 2;,Concise for single expressions
params Type[],Variable arguments,CSHARP,Functions,Core,public int Sum(params int[] nums) { },Must be last parameter
x => x * 2,Lambda expression,CSHARP,Functions,Core,Func<int; int> square = x => x * x;,Use for LINQ and delegates
Action<T> / Func<T; TResult>,Delegate types,CSHARP,Functions,Core,Action<string> log = s => Console.WriteLine(s);,Action for void; Func for return value
public class ClassName { },Class definition,CSHARP,OOP,Core,public class User { public string Name { get; set; } },One class per file; PascalCase
public interface IName { },Interface definition,CSHARP,OOP,Core,public interface IService { Task<T> GetAsync<T>(int id); },Prefix with I; define contracts
public record Name(),Record type (C# 9+),CSHARP,OOP,Core,public record UserDto(string Name; string Email);,Immutable by default; value equality
: base / : this,Constructor chaining,CSHARP,OOP,Core,public Admin(string name) : base(name) { },base for parent; this for other constructor
public T Prop { get; set; },Auto-property,CSHARP,OOP,Core,public string Name { get; set; },Compiler generates backing field
public T Prop { get; init; },Init-only property (C# 9+),CSHARP,OOP,Core,public string Id { get; init; },Set only during initialization
virtual / override / abstract,Method overriding,CSHARP,OOP,Core,public virtual void Process() { }; public override void Process() { },abstract requires implementation
public / private / protected,Access modifiers,CSHARP,OOP,Core,private readonly IService _service;,Default is private; prefer explicit
static,Static member,CSHARP,OOP,Core,public static readonly Logger Instance = new();,Shared across instances
sealed,Prevent inheritance,CSHARP,OOP,Core,public sealed class FinalClass { },Improves performance; explicit design
List<T>,Dynamic list collection,CSHARP,Collections,Core,var list = new List<string>(); list.Add("item");,Default choice for collections
Dictionary<TKey; TValue>,Key-value collection,CSHARP,Collections,Core,var dict = new Dictionary<string; int>();,O(1) lookup; use TryGetValue
list.Add() / list.Remove(),List modification,CSHARP,Collections,Core,list.Add(item); list.Remove(item);,Remove returns bool if found
dict[key] = value,Dictionary set value,CSHARP,Collections,Core,dict["key"] = 123;,Throws if key missing on get
dict.TryGetValue(key; out var val),Dictionary safe get,CSHARP,Collections,Core,if (dict.TryGetValue("key"; out var val)) { },Preferred over indexer for safety
.Where(x => condition),LINQ filter,CSHARP,Collections,Core,users.Where(u => u.Active),Deferred execution; chain with other operators
.Select(x => transform),LINQ projection,CSHARP,Collections,Core,users.Select(u => u.Name),Transform each element
.First() / .FirstOrDefault(),LINQ get first element,CSHARP,Collections,Core,var first = users.FirstOrDefault();,First throws if empty; FirstOrDefault returns null
.Any() / .All(),LINQ existence check,CSHARP,Collections,Core,if (users.Any(u => u.Admin)) { },Any for existence; All for condition
.OrderBy() / .OrderByDescending(),LINQ sorting,CSHARP,Collections,Core,users.OrderBy(u => u.Name),Chain ThenBy for secondary sort
.GroupBy(x => key),LINQ grouping,CSHARP,Collections,Core,users.GroupBy(u => u.Department),Returns IGrouping with Key property
.ToList() / .ToArray(),LINQ materialization,CSHARP,Collections,Core,var result = query.ToList();,Forces execution; use when needed
.Skip(n).Take(m),LINQ pagination,CSHARP,Collections,Core,users.Skip(10).Take(10),Combine for paging
try { } catch (Exception ex) { },Exception handling,CSHARP,Error Handling,Core,try { } catch (InvalidOperationException ex) { } catch { },Catch specific exceptions first
throw new Exception(),Throw exception,CSHARP,Error Handling,Core,throw new ArgumentException("Invalid input");,Include meaningful message
using (var r = new Resource()),Using statement (dispose),CSHARP,Error Handling,Core,using var stream = new FileStream(path; FileMode.Open);,Ensures Dispose called; use declaration form
finally { },Cleanup block,CSHARP,Error Handling,Core,finally { cleanup(); },Always runs; use using instead when possible
async Task<T> MethodAsync(),Async method signature,CSHARP,Functions,Core,public async Task<User> GetUserAsync(int id),Suffix with Async; return Task
await task,Await async operation,CSHARP,Functions,Core,var result = await service.GetAsync(id);,Non-blocking wait; captures context
Task.WhenAll(tasks),Await multiple tasks,CSHARP,Functions,Core,await Task.WhenAll(task1; task2; task3);,Run concurrently; wait for all
CancellationToken,Cancellation support,CSHARP,Functions,Core,async Task<T> GetAsync(int id; CancellationToken ct),Pass to async methods for cancellation
ConfigureAwait(false),Avoid context capture,CSHARP,Functions,Core-N,await task.ConfigureAwait(false);,Use in libraries; not in UI code
File.ReadAllTextAsync(),Read file async,CSHARP,I/O,Core,var content = await File.ReadAllTextAsync("file.txt");,Simple for small files
File.WriteAllTextAsync(),Write file async,CSHARP,I/O,Core,await File.WriteAllTextAsync("file.txt"; content);,Creates or overwrites file
JsonSerializer.Serialize(),Serialize to JSON,CSHARP,I/O,Core,var json = JsonSerializer.Serialize(obj);,Use options for formatting
JsonSerializer.Deserialize<T>(),Deserialize from JSON,CSHARP,I/O,Core,var obj = JsonSerializer.Deserialize<User>(json);,Returns null if json is null
[JsonPropertyName("name")],JSON property attribute,CSHARP,OOP,Core,[JsonPropertyName("user_id")] public string UserId { get; set; },Map C# name to JSON name
HttpClient,HTTP client class,CSHARP,I/O,Core,var response = await httpClient.GetAsync(url);,Reuse instance; use IHttpClientFactory
response.EnsureSuccessStatusCode(),Check HTTP success,CSHARP,I/O,Core,response.EnsureSuccessStatusCode();,Throws on non-2xx; check IsSuccessStatusCode instead
await response.Content.ReadAsStringAsync(),Read HTTP response,CSHARP,I/O,Core,var json = await response.Content.ReadAsStringAsync();,Use ReadFromJsonAsync for direct deserialize
$"Hello {name}",String interpolation,CSHARP,Strings,Core,$"User {user.Name} created at {DateTime.Now}",Preferred over concatenation
string.IsNullOrWhiteSpace(),Check empty string,CSHARP,Strings,Core,if (string.IsNullOrWhiteSpace(input)) { },Checks null empty and whitespace
str.Contains() / .StartsWith(),String search,CSHARP,Strings,Core,if (name.Contains("admin")) { },Case-sensitive by default
string.Join("; "; items),Join strings,CSHARP,Strings,Core,var csv = string.Join("; "; names);,Efficient; handles null items
StringBuilder,Mutable string builder,CSHARP,Strings,Core,var sb = new StringBuilder(); sb.Append("text");,Use for many concatenations
WebApplication.CreateBuilder(args),Create app builder,ASPNET,I/O,Core,var builder = WebApplication.CreateBuilder(args);,Entry point for ASP.NET apps; configures services
builder.Build(),Build application,ASPNET,I/O,Core,var app = builder.Build();,Creates immutable app from builder
app.Run(),Run application,ASPNET,I/O,Core,app.Run();,Blocks; starts listening for requests
app.MapGet("/path"; handler),Map GET endpoint,ASPNET,I/O,Core,app.MapGet("/users/{id}"; (int id) => Results.Ok(id));,Minimal API pattern; clean and fast
app.MapPost("/path"; handler),Map POST endpoint,ASPNET,I/O,Core,app.MapPost("/users"; (UserDto dto) => Results.Created());,Auto model binding from body
app.MapPut() / app.MapDelete(),Map PUT/DELETE endpoints,ASPNET,I/O,Core,app.MapPut("/users/{id}"; handler);,RESTful resource updates and deletes
app.MapGroup("/api"),Group endpoints,ASPNET,I/O,Core,var api = app.MapGroup("/api/v1");,Organize endpoints; share filters
Results.Ok() / Results.Created(),Return success results,ASPNET,I/O,Core,return Results.Ok(user);,Type-safe result helpers
Results.NotFound() / Results.BadRequest(),Return error results,ASPNET,I/O,Core,return Results.NotFound();,Return appropriate HTTP status
Results.Problem(),Return problem details,ASPNET,Error Handling,Core,return Results.Problem("Error occurred");,RFC 7807 format; include details
[ApiController],API controller attribute,ASPNET,OOP,Core,[ApiController] public class UsersController : ControllerBase,Auto validation; binding from body
[Route("api/[controller]")],Route template,ASPNET,OOP,Core,[Route("api/[controller]")],[controller] token replaced by class name
[HttpGet] / [HttpPost],HTTP method attributes,ASPNET,I/O,Core,[HttpGet("{id}")] public async Task<ActionResult<User>> Get(int id),Combine method and route
[HttpPut] / [HttpDelete],HTTP method attributes,ASPNET,I/O,Core,[HttpPut("{id}")] public async Task<IActionResult> Update(int id),Return IActionResult for flexibility
[FromBody] / [FromQuery],Model binding source,ASPNET,I/O,Core,public IActionResult Create([FromBody] UserDto dto),Explicit binding source
[FromRoute] / [FromHeader],Model binding source,ASPNET,I/O,Core,public IActionResult Get([FromRoute] int id),FromRoute for path params
ActionResult<T>,Controller return type,ASPNET,I/O,Core,public async Task<ActionResult<User>> GetUser(int id),Enables OpenAPI schema generation
Ok() / NotFound() / BadRequest(),Controller result methods,ASPNET,I/O,Core,return Ok(user); return NotFound();,Inherited from ControllerBase
builder.Services.AddScoped<I; T>(),Register scoped service,ASPNET,Functions,Core,builder.Services.AddScoped<IUserService; UserService>();,One per request; most common
builder.Services.AddSingleton<I; T>(),Register singleton service,ASPNET,Functions,Core,builder.Services.AddSingleton<ICacheService; CacheService>();,One for app lifetime; thread-safe only
builder.Services.AddTransient<I; T>(),Register transient service,ASPNET,Functions,Core,builder.Services.AddTransient<IValidator; Validator>();,New instance each injection
builder.Services.AddHttpClient<T>(),Register typed HTTP client,ASPNET,Functions,Core,builder.Services.AddHttpClient<IApiService; ApiService>();,Manages HttpClient lifecycle
IOptions<T> / IOptionsSnapshot<T>,Options pattern injection,ASPNET,Variables,Core,public Service(IOptions<AppOptions> options),Snapshot for reloading; Monitor for changes
builder.Configuration["Key"],Access configuration,ASPNET,Variables,Core,var connStr = builder.Configuration["ConnectionStrings:Default"];,Colon for nested sections
builder.Services.Configure<T>(),Bind configuration section,ASPNET,Variables,Core,builder.Services.Configure<AppOptions>(config.GetSection("App"));,Type-safe configuration
[Authorize],Require authentication,ASPNET,Control Flow,Core,[Authorize] public class SecureController { },Apply to class or method
[Authorize(Roles = "Admin")],Role-based authorization,ASPNET,Control Flow,Core,[Authorize(Roles = "Admin")],Comma-separate multiple roles
[Authorize(Policy = "...")],Policy-based authorization,ASPNET,Control Flow,Core,[Authorize(Policy = "RequireScope")],More flexible than roles
User.Claims,Access user claims,ASPNET,Variables,Core,var userId = User.FindFirst(ClaimTypes.NameIdentifier)?.Value;,Check claim types for standard claims
app.UseAuthentication(),Add auth middleware,ASPNET,Functions,Core,app.UseAuthentication();,Must come before UseAuthorization
app.UseAuthorization(),Add authz middleware,ASPNET,Functions,Core,app.UseAuthorization();,Enables [Authorize] attribute
app.UseMiddleware<T>(),Register custom middleware,ASPNET,Functions,Core,app.UseMiddleware<CorrelationIdMiddleware>();,Order matters; request pipeline
app.UseCors(),Enable CORS middleware,ASPNET,Functions,Core,app.UseCors("AllowSpecificOrigin");,Configure policy in services
app.UseExceptionHandler(),Global exception handling,ASPNET,Error Handling,Core,app.UseExceptionHandler();,Returns Problem Details for API
[Required] / [StringLength],Validation attributes,ASPNET,OOP,Core,[Required] [StringLength(100)] public string Name { get; set; },Auto-validated with ApiController
[EmailAddress] / [Range],Validation attributes,ASPNET,OOP,Core,[EmailAddress] public string Email { get; set; },Range for numeric bounds
ModelState.IsValid,Check validation state,ASPNET,Control Flow,Core,if (!ModelState.IsValid) return BadRequest(ModelState);,Auto-checked with ApiController
builder.Services.AddDbContext<T>(),Register EF DbContext,ASPNET,Functions,Core,builder.Services.AddDbContext<AppDbContext>(o => o.UseSqlServer(cs));,Scoped by default
DbSet<T>,EF entity collection,ASPNET,Collections,Core,public DbSet<User> Users { get; set; },Maps to database table
await db.SaveChangesAsync(),Persist EF changes,ASPNET,I/O,Core,await _context.SaveChangesAsync();,Saves all tracked changes; returns count
.Include(x => x.Nav),EF eager loading,ASPNET,Collections,Core,await db.Users.Include(u => u.Orders).ToListAsync();,Loads related data in one query
.AsNoTracking(),EF read-only query,ASPNET,Collections,Core-N,await db.Users.AsNoTracking().ToListAsync();,Performance boost for read-only
_logger.LogInformation(),Log info message,ASPNET,I/O,Core,_logger.LogInformation("User {UserId} created"; userId);,Use structured logging with placeholders
_logger.LogError(ex; "msg"),Log error with exception,ASPNET,Error Handling,Core,_logger.LogError(ex; "Failed to create user {UserId}"; userId);,Exception first; enables stack trace
builder.Services.AddHealthChecks(),Register health checks,ASPNET,Functions,Core-N,builder.Services.AddHealthChecks().AddCheck<DbHealthCheck>("db");,Add custom health checks
app.MapHealthChecks("/health"),Map health endpoint,ASPNET,I/O,Core-N,app.MapHealthChecks("/health");,Use for k8s/container liveness probes
builder.Services.AddSwaggerGen(),Add Swagger/OpenAPI,ASPNET,Functions,Core,builder.Services.AddEndpointsApiExplorer(); builder.Services.AddSwaggerGen();,API documentation generation
app.UseSwagger() / app.UseSwaggerUI(),Enable Swagger UI,ASPNET,I/O,Core,app.UseSwagger(); app.UseSwaggerUI();,Interactive API testing interface
map(func; iterable),Apply function to each element,PYTHON,Functions,Core,list(map(str.upper; names)),Lazy; wrap in list() to materialize
filter(func; iterable),Filter elements by predicate,PYTHON,Functions,Core,list(filter(lambda x: x > 0; nums)),Returns iterator; often prefer list comprehension
any(iterable) / all(iterable),Check if any/all elements true,PYTHON,Functions,Core,any(x > 0 for x in lst),Short-circuits; use with generator expression
sum(iterable),Sum of elements,PYTHON,Functions,Core,total = sum(prices),Use start param for non-zero initial
min(iterable) / max(iterable),Min/max of iterable,PYTHON,Functions,Core,min(scores); max(scores; key=lambda x: x.val),Use key for custom comparison
abs() / round() / pow(),Math built-ins,PYTHON,Functions,Core,abs(-5); round(3.14; 2); pow(2; 10),round uses banker's rounding
dict.get(key; default),Get with default value,PYTHON,Collections,Core,val = d.get("key"; "default"),Returns None if no default specified
dict.keys() / .values() / .items(),Dict iterators,PYTHON,Collections,Core,for k; v in d.items():,Returns views; iterate or convert to list
dict.update(),Merge dictionaries,PYTHON,Collections,Core,d1.update(d2); d1 |= d2,Modifies in place; | creates new dict in 3.9+
dict.pop() / dict.setdefault(),Remove or set default,PYTHON,Collections,Core,d.pop("key"; None); d.setdefault("key"; []),setdefault great for grouping patterns
list.append() / list.extend(),Add single/multiple elements,PYTHON,Collections,Core,lst.append(x); lst.extend([1;2;3]),append adds one; extend adds all from iterable
list.pop() / list.remove(),Remove by index/value,PYTHON,Collections,Core,lst.pop(); lst.remove(x),pop returns item; remove raises if not found
list.index() / list.count(),Find index or count occurrences,PYTHON,Collections,Core,idx = lst.index(x); cnt = lst.count(x),index raises if not found
list.sort() / list.reverse(),In-place sort/reverse,PYTHON,Collections,Core,lst.sort(key=lambda x: x.name),Modifies list; use sorted() for new list
str.find() / str.index(),Find substring position,PYTHON,Strings,Core,pos = s.find("sub"); s.index("sub"),find returns -1 if not found; index raises
str.count(),Count substring occurrences,PYTHON,Strings,Core,cnt = s.count("a"),Non-overlapping matches
str.startswith() / str.endswith(),Check prefix/suffix,PYTHON,Strings,Core,if s.startswith("http"):,Accepts tuple for multiple options
str.upper() / str.lower() / str.title(),Case conversion,PYTHON,Strings,Core,s.upper(); s.lower(); s.title(),Returns new string; original unchanged
str.isdigit() / str.isalpha(),Character type check,PYTHON,Strings,Core,if s.isdigit():,Returns False on empty string
json.loads() / json.dumps(),Parse/serialize JSON,PYTHON,I/O,Core,import json; obj = json.loads(s); s = json.dumps(obj),Use indent for pretty printing
json.load() / json.dump(),Read/write JSON files,PYTHON,I/O,Core,with open("f.json") as f: data = json.load(f),File-based counterparts to loads/dumps
os.path.join() / os.path.exists(),Path manipulation,PYTHON,I/O,Core,import os; path = os.path.join("dir"; "file.txt"),OS-independent path handling
pathlib.Path(),Modern path handling,PYTHON,I/O,Core,from pathlib import Path; p = Path("dir") / "file.txt",Preferred over os.path in Python 3
os.listdir() / os.makedirs(),Directory operations,PYTHON,I/O,Core,os.listdir("."); os.makedirs("dir"; exist_ok=True),exist_ok prevents error if exists
os.getenv(),Get environment variable,PYTHON,I/O,Core,val = os.getenv("API_KEY"; "default"),Returns None if not set without default
datetime.now() / datetime.today(),Current date/time,PYTHON,Data Types,Core,from datetime import datetime; now = datetime.now(),now() can take timezone; today() is naive
datetime.strptime() / .strftime(),Parse/format datetime,PYTHON,Data Types,Core,dt = datetime.strptime(s; "%Y-%m-%d"); s = dt.strftime("%Y-%m-%d"),strptime parses; strftime formats
timedelta,Date arithmetic,PYTHON,Data Types,Core,from datetime import timedelta; dt + timedelta(days=7),Add/subtract time from datetime
re.match() / re.search(),Regex match at start/anywhere,PYTHON,Strings,Core,import re; m = re.search(r"\d+"; s),match at start only; search anywhere
re.findall() / re.sub(),Find all matches / substitute,PYTHON,Strings,Core,re.findall(r"\d+"; s); re.sub(r"\s+"; " "; s),Use raw strings r"" for regex
print(),Output to console,PYTHON,I/O,Core,print(f"Value: {x}"; end=""),Use end/sep params for formatting
input(),Read user input,PYTHON,I/O,Core,name = input("Enter name: "),Always returns string; convert as needed
if __name__ == "__main__":,Script entry point guard,PYTHON,Control Flow,Core,if __name__ == "__main__": main(),Allows import without execution
global / nonlocal,Variable scope modifiers,PYTHON,Variables,Advanced,global counter; nonlocal x,global for module; nonlocal for enclosing scope
assert condition,Debug assertion,PYTHON,Error Handling,Core,assert x > 0; "x must be positive",Removed with -O flag; use for debugging only
-XX:+UseZGC,Use ZGC collector (Java 11+),JVM,Config,Core-N,-XX:+UseZGC,Sub-millisecond pauses; good for large heaps
-XX:+UseShenandoahGC,Use Shenandoah GC (Java 12+),JVM,Config,Advanced,-XX:+UseShenandoahGC,Low-pause alternative to ZGC
-XX:NewRatio,Old:Young generation ratio,JVM,Config,Core-N,-XX:NewRatio=2,Lower ratio = larger young gen; tune for allocation rate
-XX:MetaspaceSize,Initial metaspace size,JVM,Config,Core-N,-XX:MetaspaceSize=256m -XX:MaxMetaspaceSize=512m,Set Max to avoid unbounded growth
-Xlog:gc*,Unified GC logging (Java 9+),JVM,Config,Core,-Xlog:gc*:file=gc.log:time,Modern GC logging; replaces PrintGC
